time1	em2
8462.100	-25.2904
8462.101	-25.3397
8462.102	-25.6161
8462.103	-25.8037
8462.104	-25.5799
8462.105	-25.7511
8462.106	-25.8827
8462.107	-25.6293
8462.108	-25.6293
8462.109	-25.6359
8462.110	-25.4779
8462.111	-25.4845
8462.112	-25.4253
8462.113	-25.3002
8462.114	-24.9481
8462.115	-25.0469
8462.116	-25.1785
8462.117	-25.2937
8462.118	-25.343
8462.119	-25.5405
8462.120	-25.5898
8462.121	-25.5536
8462.122	-25.5668
8462.123	-25.4154
8462.124	-25.4944
8462.125	-25.2575
8462.126	-25.2081
8462.127	-25.0074
8462.128	-24.9284
8462.129	-24.9778
8462.130	-24.7343
8462.131	-24.4908
8462.132	-24.7211
8462.133	-24.9087
8462.134	-24.7836
8462.135	-24.856
8462.136	-25.139
8462.137	-25.2575
8462.138	-25.3726
8462.139	-25.5141
8462.140	-25.3595
8462.141	-25.3562
8462.142	-25.218
8462.143	-24.9547
8462.144	-24.7639
8462.145	-24.6553
8462.146	-24.5566
8462.147	-24.2834
8462.148	-24.4611
8462.149	-24.5138
8462.150	-24.7408
8462.151	-24.8527
8462.152	-24.9843
8462.153	-25.162
8462.154	-25.1094
8462.155	-25.3397
8462.156	-25.3167
8462.157	-25.0074
8462.158	-24.8659
8462.159	-24.7474
8462.160	-24.3624
8462.161	-24.3131
8462.162	-24.2736
8462.163	-24.2933
8462.164	-23.9873
8462.165	-24.2176
8462.166	-24.5105
8462.167	-24.6059
8462.168	-24.6323
8462.169	-24.731
8462.170	-24.7408
8462.171	-24.8132
8462.172	-25.0567
8462.173	-24.5796
8462.174	-24.369
8462.175	-24.2999
8462.176	-24.2999
8462.177	-24.2571
8462.178	-24.1518
8462.179	-24.0564
8462.180	-24.1189
8462.181	-23.9906
8462.182	-24.2176
8462.183	-24.2012
8462.184	-24.1551
8462.185	-24.2736
8462.186	-24.2933
8462.187	-24.2571
8462.188	-24.346
8462.189	-24.4019
8462.190	-24.0794
8462.191	-23.9708
8462.192	-23.7833
8462.193	-23.372
8462.194	-23.293
8462.195	-23.1844
8462.196	-23.1943
8462.197	-22.9902
8462.198	-22.9343
8462.199	-23.0659
8462.200	-23.4213
8462.201	-23.3029
8462.202	-23.5398
8462.203	-23.8228
8462.204	-23.7273
8462.205	-23.8721
8462.206	-23.7471
8462.207	-23.4509
8462.208	-23.2469
8462.209	-23.2864
8462.210	-22.9277
8462.211	-22.4802
8462.212	-22.4736
8462.213	-22.2663
8462.214	-21.9504
8462.215	-22.2071
8462.216	-22.3617
8462.217	-22.3519
8462.218	-22.3749
8462.219	-22.5329
